lens_id,jurisdiction,source,is_classified,itc_codes,n_itc_tags,cpc_rule_domains,keyword_rule_domains,status,title_truncated,screening_category,analysis_set_443,adjudication_action
172-275-795-866-748,US,r2_keep,True,4-3,1,,2-4;4-3,included_classified,Autonomous mobile mechanically deployed spaceport to provide a self-leveling sta,included_classified,true,suppress
102-023-038-110-548,US,r2_keep,True,1-1;1-2,2,,1-2;2-4,included_classified,Mass-Optimized Geogrid for Regolith and Soil Stabilization in Extraterrestrial a,included_classified,true,add+suppress
001-644-359-654-888,WO,r2_keep,True,2-1;2-2;2-3;2-4;3-1;4-1,6,2-1;2-3;2-4,2-1;4-1,included_classified,SOLAR ENERGY-BASED 3D PRINTING PLATFORM FOR THE CONSTRUCTION OF EXTRATERRESTRIAL,included_classified,true,add
050-086-714-811-491,US,r2_keep,True,4-3;4-4,2,4-3;4-4,2-4;4-3;4-4,included_classified,DEPLOYABLE LUNAR LANDING PADS FOR SPACE MINING APPLICATIONS,included_classified,true,suppress
062-567-139-510-205,US,r2_keep,True,4-1;4-2;4-4,3,4-4,2-4;3-1;4-1;4-4,included_classified,Inflatable docking station/garage for Mars rover,included_classified,true,add+suppress
190-071-867-525-212,CN,r2_keep,True,1-2;2-3;3-3;4-1;4-5,5,2-3,1-2;4-1,included_classified,Moon base energy supply system based on solar energy and lunar in-situ resource ,included_classified,true,add
106-594-158-271-391,CN,r2_keep,True,1-1;2-1;2-3,3,2-1,2-1,included_classified,3D printing equipment applied to lunar soil resources in lunar craters,included_classified,true,add
123-475-504-559-879,US,r2_keep,True,2-1,1,,2-4,included_classified,"SPACE ANCHORS FOR USE ON THE MOON, MARS AND OTHER EXTRATERRESTRIAL BODIES",included_classified,true,add+suppress
054-841-991-520-336,WO,r2_keep,True,2-1,1,2-1,2-1,included_classified,REGOLITH-BASED COMPOSITIONS,included_classified,true,keep
068-937-559-043-352,CN,r2_keep,True,4-1,1,3-3;4-1,2-4;4-1,included_classified,Lunar soil bag stacking construction method and system using descending stage of,included_classified,true,suppress
068-596-540-230-809,CN,r2_keep,True,2-1;2-4;4-1,3,2-1;2-4,1-2;2-1,included_classified,Low-power-consumption extraterrestrial celestial body in-situ additive manufactu,included_classified,true,add+suppress
039-528-385-518-952,US,r2_keep,True,1-1;1-2;1-3;4-1,4,,4-3,included_classified,"Materials, Methods, and Apparatus for Lunar Engineered Regolith Infrastructure",included_classified,true,add+suppress
146-821-351-857-456,CN,r2_keep,True,1-2;2-1,2,1-2;2-1,1-2;2-1,included_classified,Lunar regolith concrete suitable for being extruded and preparation method there,included_classified,true,keep
170-224-735-783-796,CN,r2_keep,True,2-1;3-1,2,,2-1,included_classified,Moon camp auxiliary construction robot,included_classified,true,add
124-073-640-771-027,US,r2_keep,True,1-1;4-1;4-4,3,4-4,4-4,included_classified,SYSTEM FOR IN SITU RESOURCE UTILIZATION IN EXTRATERRESTRIAL ENVIRONMENTS,included_classified,true,add
034-211-756-564-96X,US,r2_keep,True,1-3;2-2;2-3;4-5,4,1-3;2-3,,included_classified,Lunar Regolith Sintering: Orbital Directed Energy for Lunar Site Preparation,included_classified,true,add
182-723-188-429-510,CN,r2_keep,True,1-1,1,,,included_classified,Mars water ice array acquisition system based on lobe heat pipe heating element ,included_classified,true,add_only
056-643-427-726-590,CN,r2_keep,True,1-2;1-3;2-1;2-4;4-1,5,1-2;2-1;2-4;3-2,1-2;2-1,included_classified,3D printing rheological regulation and printing method for simulating lunar soil,included_classified,true,add+suppress
103-170-089-356-78X,CN,r2_keep,True,1-2;2-1,2,2-1,1-1;2-1,included_classified,Lunar soil 3D printing method for lunar surface in-situ construction and lunar s,included_classified,true,add+suppress
149-903-531-189-051,US,r2_keep,True,1-3;2-1;2-2;4-1,4,1-3;2-1;2-2,2-1,included_classified,SYSTEMS AND METHODS FOR IN-SITU REGOLITH AND METAL FUEL REACTIONS FOR ADDITIVE M,included_classified,true,add
177-864-367-117-000,CN,r2_keep,True,1-3;2-1;2-2;2-4,4,2-4,1-1;2-1,included_classified,In-situ stress test method of 3D printing simulated lunar soil,included_classified,true,add+suppress
172-390-595-682-825,CN,r2_keep,True,4-1,1,4-1,,included_classified,Lunar soil bag structure for moon base construction,included_classified,true,keep
132-569-411-464-84X,CN,r2_keep,True,4-1,1,3-2;4-1,1-1;2-4;4-1,included_classified,Mars base construction method and Mars base,included_classified,true,suppress
046-021-093-098-555,RU,r2_keep,True,1-2;1-3;4-1,3,4-1,2-1;4-4,included_classified,METHOD FOR CONSTRUCTION OF DOME STRUCTURE ON THE MOON,included_classified,true,add+suppress
073-024-421-109-819,US,r2_keep,True,1-2;1-3;2-1,3,1-1;1-3;2-1,1-2,included_classified,Ink compositions for fabricating objects from regoliths and methods of forming t,included_classified,true,suppress
134-720-364-544-493,CN,r2_keep,True,1-3;4-1;4-2;4-4,4,4-1,4-4,included_classified,Composite wall structure applied to moon building,included_classified,true,add
129-255-465-607-615,RU,r2_keep,True,1-1;4-1,2,1-1;4-1,1-1,included_classified,"METHOD FOR MAKING ARTICLES FOR CIVIL AND/OR INDUSTRIAL OBJECTS ON MOON, MARS, AN",included_classified,true,keep
034-345-624-950-109,CN,r2_keep,True,2-1;2-4;4-1,3,2-1,2-1,included_classified,Microgravity vacuum environment oriented lunar surface in-situ resource 3D print,included_classified,true,add
110-138-204-883-475,CN,r2_keep,True,1-2,1,1-2;2-1,1-2,included_classified,Preparation method of simulant lunar soil geopolymer material,included_classified,true,suppress
148-756-629-236-617,CN,r2_keep,True,1-3;3-3;4-1,3,,,included_classified,Lunar soil bag structure in-situ filling and curing equipment for lunar surface ,included_classified,true,add_only
074-453-584-927-535,CN,r2_keep,True,1-2;2-1;4-1,3,1-2;2-1,1-2;2-1,included_classified,Preparation method and application of magnesium phosphate cement lunar soil conc,included_classified,true,add
048-671-560-798-655,CN,r2_keep,True,1-3;2-1,2,2-1,2-1,included_classified,Extraterrestrial planet-oriented building material in-situ manufacturing device ,included_classified,true,add
166-753-917-204-117,US,r2_keep,True,1-1;4-1,2,,1-1;2-1,included_classified,REGOLITH OXYGEN EXTRACTION SYSTEM,included_classified,true,add+suppress
012-104-259-178-791,RU,r2_keep,True,1-1;1-3;2-1;2-3;3-1;3-3;4-5,7,,1-1;2-4;4-1,included_classified,ROBOTIC COMPLEX FOR UNMANNED ERECTION OF STRUCTURES/SHELTERS ON THE MOON,included_classified,true,add+suppress
037-752-510-247-711,CA,r2_keep,True,1-1;2-1;2-2;2-4;4-1;4-4,6,1-3;2-1;2-2,2-1,included_classified,"METHOD OF MANUFACTURE OF PRODUCTS FROM REGOLITH, 3D PRINTING METAL RESIDUES AND ",included_classified,true,add+suppress
161-059-709-074-125,CN,r2_keep,True,2-1;2-4,2,2-1;2-4,1-1;2-1,included_classified,Lunar soil liquid 3D printing method and system for lunar surface in-situ constr,included_classified,true,suppress
137-444-629-554-621,CN,r2_keep,True,1-1;1-3;2-1;2-2;2-4;4-1,6,2-1,2-1;2-2,included_classified,Lunar surface in-situ manufacturing method based on electron beam melting lunar ,included_classified,true,add
079-826-215-013-907,US,r2_keep,True,2-1,1,2-2,2-1,included_classified,MOLTEN REGOLITH DISPENSER GUN,included_classified,true,suppress
112-996-752-185-399,US,r2_keep,True,3-1;4-2;4-3;4-4,4,4-3;4-4,2-4;4-3;4-4,included_classified,Method for assemblying and landing a habitable structure on an extraterrestrial ,included_classified,true,add+suppress
036-096-288-945-893,CN,r2_keep,True,3-1;4-1,2,,,included_classified,Lunar base construction robot,included_classified,true,add_only
160-450-456-889-400,CN,r2_keep,True,2-1;2-4,2,2-1,2-1,included_classified,Extrusion type lunar soil additive manufacturing method for lunar surface in-sit,included_classified,true,add
009-489-822-113-391,CN,r2_keep,True,1-3;3-3;4-1,3,,,included_classified,Lunar soil bag structure continuous filling and curing equipment for lunar surfa,included_classified,true,add_only
174-314-340-624-111,NL,r2_keep,True,2-1;2-4,2,2-1,2-1,included_classified,METHOD FOR PRINTING SIMULATED LUNAR SOIL MATERIAL BASED ON PHOTOCURING ADDITIVE ,included_classified,true,add
013-264-903-574-867,CN,r2_keep,True,4-1,1,3-1,3-1,included_classified,Switchable wheel-leg multi-mode lunar rover and operation method,included_classified,true,add+suppress
183-166-994-280-017,CN,r2_keep,True,1-3;2-1;2-2;4-1,4,1-3;2-1,2-1;2-4,included_classified,Lunar surface environment-oriented high-strength part 3D printing method and dev,included_classified,true,add+suppress
168-291-035-691-223,CN,r2_keep,True,2-1;4-1;4-4,3,4-1,,included_classified,Lunar crater type manned lunar building structure based on future lunar base and,included_classified,true,add
005-423-342-957-627,CN,r2_keep,True,2-1;2-4;4-1,3,2-1,2-1,included_classified,Simulated lunar soil material printing method based on photocuring additive manu,included_classified,true,add
096-687-856-616-184,CN,r2_keep,True,1-3;4-1;4-4,3,3-3;4-1;4-4,2-4,included_classified,Lunar surface building weaving construction method and system based on descendin,included_classified,true,add+suppress
004-192-864-658-286,CN,r2_keep,True,2-1;2-4;4-1,3,2-1;2-4;3-3,2-1;2-4,included_classified,Biomimetic spider-based lunar surface reconfigurable printing device and lunar s,included_classified,true,add+suppress
135-685-354-980-983,CN,r2_keep,True,1-3;2-3;4-1,3,,2-2,included_classified,Mould-stripping-free microwave sintering lifting platform for lunar base and con,included_classified,true,add+suppress
155-156-267-848-345,CN,r2_keep,True,1-1;2-4;3-1;4-1,4,2-4,3-1,included_classified,Lunar rover for assisting in constructing lunar base and collecting lunar rock s,included_classified,true,add
168-953-807-080-044,CN,r2_keep,True,2-3;4-1;4-5,3,2-3,4-1,included_classified,Assembly type lunar heat constant-temperature system for lunar habitat,included_classified,true,add
001-365-377-055-297,WO,r2_keep,True,2-1;2-4,2,2-4,,included_classified,LIGHTWEIGHT AND COMPACT LUNAR REGOLITH SAMPLING SYSTEM MOUNTABLE ON ROVER,included_classified,true,add
160-484-724-276-658,CN,r2_keep,True,1-2;2-1,2,1-2;2-1,1-2;2-1,included_classified,Lunar soil concrete and preparation method thereof,included_classified,true,keep
016-391-930-515-863,CN,r2_keep,True,2-1;2-2;2-4,3,2-1;2-2;2-4,1-2;2-1,included_classified,Efficient 3D printing device and method for preparing high-strength complex comp,included_classified,true,suppress
083-458-058-144-695,WO,r2_keep,True,1-1;4-1,2,,1-1,included_classified,LUNAR REGOLITH PROCESSING SYSTEM FOR MINING AND BENEFICIATION,included_classified,true,add
165-613-043-078-496,US,r2_keep,True,1-2;4-1;4-4,3,4-1;4-2;4-4,1-2;4-4,included_classified,Method for producing Regishell inflatable environment,included_classified,true,suppress
167-251-678-486-458,CN,r2_keep,True,1-2;1-3;4-1;4-2;4-4,5,1-2;4-1,1-2,included_classified,Lunar surface masking body structure based on lunar soil concrete spraying and c,included_classified,true,add
080-835-290-708-311,RU,r2_keep,True,1-2;4-1;4-4,3,4-1,1-2;4-4,included_classified,DOME STRUCTURE ON MOON,included_classified,true,keep
077-747-526-233-538,CN,r2_keep,True,1-3;2-1;2-4,3,2-1;2-4,1-1;2-1,included_classified,3D printing and mold pressing composite forming method for lunar soil component,included_classified,true,add+suppress
004-384-373-936-09X,CN,r2_keep,True,1-3;4-1;4-4,3,4-1;4-4,4-2;4-4,included_classified,Hemispherical inflatable unfolding moon building protection structure filled wit,included_classified,true,add+suppress
060-051-985-748-562,CN,r2_keep,True,2-1;2-4,2,2-1;2-4,2-1;2-4,included_classified,Method for selecting excellent lunar soil heating temperature during melting add,included_classified,true,keep
000-050-192-239-695,US,r2_keep,True,4-1;4-2;4-4;4-5,4,4-4;4-5,4-1,included_classified,Spacecraft for interplanetary/lunar travel,included_classified,true,add
194-830-686-858-560,US,r2_keep,True,4-1;4-2;4-4,3,4-2,4-2,included_classified,ARMOR -ARchitectural Melanin-Operated Radiation shielding for flexible structure,included_classified,true,add
010-067-837-229-819,CN,r2_keep,True,1-3;2-3;2-4,3,2-4,,included_classified,Lunar brick making base based on lunar soil and lunar soil brick in-situ detecti,included_classified,true,add
118-139-721-809-981,CN,r2_keep,True,1-3;4-1;4-4,3,3-3;4-1,4-4,included_classified,Modularized rigid-flexible mixed structure construction method for lunar base an,included_classified,true,add+suppress
180-843-417-044-379,CN,r2_keep,True,1-1;1-3;2-4,3,1-3;2-4,,included_classified,Moon polar region water-ice-containing simulated lunar soil and preparation meth,included_classified,true,add
161-464-221-483-282,CN,r2_keep,True,1-3;2-1;2-3;4-1,4,2-1,2-1,included_classified,Lunar soil additive manufacturing forming method and device based on lunar surfa,included_classified,true,add
038-116-312-465-733,CN,r2_keep,True,1-2,1,1-2,1-2,included_classified,Sulfur concrete with sublimation corrosion resistance and preparation method the,included_classified,true,keep
092-158-603-331-325,US,r2_keep,True,2-1;2-4,2,2-1;2-4,2-1,included_classified,Manufacturing sensors using celestial body regolith,included_classified,true,keep
152-092-286-033-249,CN,r2_keep,True,1-2;3-1,2,3-1,3-1,included_classified,Lunar rover path planning method based on depth deterministic gradient strategy,included_classified,true,add
006-915-255-521-021,CN,r2_keep,True,1-3;4-1;4-2;4-4,4,4-1;4-4,4-1;4-4,included_classified,Self-stiffening inflatable dwelling cabin for lunar surface construction,included_classified,true,add
035-909-461-720-014,CN,r2_keep,True,4-1;4-2;4-4,3,3-2;4-1,,included_classified,"Lunar surface masking structure, low-cost construction, operation and maintenanc",included_classified,true,add+suppress
130-664-747-144-252,US,r2_keep,True,1-1;1-2;4-1;4-3,4,,,included_classified,MINERAL MINING APPARATUS,included_classified,true,add_only
191-157-552-649-45X,CN,r2_keep,True,2-1;2-3;2-4,3,2-1;2-3;3-3,2-1,included_classified,Solar 3D printing construction vehicle,included_classified,true,add+suppress
084-114-906-765-011,WO,r2_keep,True,2-4,1,2-4,4-3,included_classified,SYSTEMS AND METHODS OF MATTER EXTRACTION FROM LUNAR SURFACE,included_classified,true,suppress
064-541-144-178-494,CN,r2_keep,True,1-2;2-1;2-4,3,2-4,3-1,included_classified,In-situ dynamic observation method for dust field of wheels of lunar rover,included_classified,true,add+suppress
123-086-222-269-145,CN,r2_keep,True,4-1;4-4,2,4-1,4-4,included_classified,Movable inflatable self-balancing moon building structure,included_classified,true,keep
146-523-009-748-03X,CN,r2_keep,True,2-1;2-4;4-1,3,2-1;2-4;3-3,2-1,included_classified,Moon building 3D printing equipment,included_classified,true,add+suppress
096-487-039-064-280,CN,r2_keep,True,1-1;1-2;4-3,3,4-3,1-2,included_classified,Moon surface soil solidification device,included_classified,true,add
049-923-631-307-636,US,r2_keep,True,4-3;4-4,2,,4-4,included_classified,Inflatable wing flight vehicle,included_classified,true,add
119-888-337-012-374,US,r2_keep,True,1-1;1-3,2,,1-1,included_classified,HEATING AND DEPOSITION FOR BENEFICIATION OF LUNAR REGOLITH,included_classified,true,add
124-303-561-692-225,CN,r2_keep,True,1-3;2-1;2-3;2-4,4,2-1;2-3,2-1,included_classified,3D printing forming device and method for lunar soil component,included_classified,true,add
075-067-497-779-248,CN,r2_keep,True,2-4,1,2-4,,included_classified,Lunar soil water ice generation and equilibrium state measurement device and met,included_classified,true,keep
163-042-872-144-367,CN,r2_keep,True,2-1,1,2-1,2-1,included_classified,Lunar soil 3D printing device and method based on electrostatic dust collection,included_classified,true,keep
043-654-664-857-035,CN,r2_keep,True,2-1;2-2;2-4,3,2-2;2-4,2-1,included_classified,Control method and system based on mobile lunar surface 3D printing robot and st,included_classified,true,keep
080-235-443-977-880,CN,r2_keep,True,1-2;2-1;2-4,3,2-1,2-1,included_classified,Real-time reducing 3D printing head suitable for lunar surface in-situ construct,included_classified,true,add
138-534-285-399-159,CN,r2_keep,True,1-1;1-3;2-1;2-2;4-1,5,2-1,2-4,included_classified,Construction method of lunar base outer shell layer,included_classified,true,add+suppress
195-841-702-516-377,CN,r2_keep,True,1-3;2-1,2,2-1,2-1,included_classified,"Lunar soil 3D printing device based on electrostatic collecting, transporting an",included_classified,true,add
160-101-694-693-889,CN,r2_keep,True,1-1;2-4,2,2-4,,included_classified,Mars water ice distribution detection method based on SHARAD radar,included_classified,true,add
162-812-343-325-367,CN,r2_keep,True,1-1;2-4,2,2-4,,included_classified,Deep water ice sampling detection device for lunar polar region,included_classified,true,add
147-163-704-802-691,CN,r2_keep,True,4-1,1,3-1,3-1,included_classified,Four-caterpillar-band type lunar rover device capable of assisting operation of ,included_classified,true,add+suppress
001-869-679-642-621,CN,r2_keep,True,2-3;4-1,2,,2-2;2-4,included_classified,Moon-based landing platform and construction method thereof,included_classified,true,add+suppress
082-478-261-243-172,CN,r2_keep,True,1-2;1-3;4-1;4-2;4-4,5,,2-4;4-2;4-4,included_classified,Inflatable tamping type protective structure in lunar environment and constructi,included_classified,true,add+suppress
029-316-137-364-969,US,r2_keep,True,4-1;4-2;4-4,3,4-1;4-2,4-1;4-4,included_classified,INFLATABLE HABITAT FOR PERMANENT HUMAN SETTLEMENT,included_classified,true,keep
085-536-809-046-433,CN,r2_keep,True,1-3,1,1-1,,included_classified,Fe-containing lunar soil sintered block and low-temperature carbon thermal reduc,included_classified,true,add+suppress
105-204-753-751-127,CN,r2_keep,True,1-2;1-3;4-1,3,1-2,1-2;1-3,included_classified,Polypropylene fiber reinforced lunar soil simulating geopolymer material and pre,included_classified,true,add
067-413-247-484-040,CN,r2_keep,True,1-2;1-3;2-1;2-2,4,1-3;2-1,1-2;2-1;2-4,included_classified,Technical method for improving compactness of lunar soil 3D printing energy stor,included_classified,true,add+suppress
131-578-433-073-899,US,r2_keep,True,4-1;4-3;4-4;4-5,4,4-4;4-5,2-4;4-1,included_classified,SPACECRAFT-MODULE HABITATS AND BASES,included_classified,true,add+suppress
005-724-271-510-64X,CN,r2_keep,True,1-2;1-3;2-1;4-1;4-4,5,3-3;4-1,1-2;2-1,included_classified,Honeycomb-shaped manned modular lunar cabin and construction method,included_classified,true,add+suppress
157-386-109-733-565,CN,r2_keep,True,2-1,1,,2-1;2-4;3-1,included_classified,Mars visible light target characteristic accurate simulation method based on 3D ,included_classified,true,suppress
173-877-838-011-243,CN,r2_keep,True,4-1,1,,4-4,included_classified,Deformable wheel with non-inflatable load bearing and tread heating for lunar an,included_classified,true,add+suppress
107-466-639-838-133,US,r2_keep,True,1-1;2-1;2-4,3,2-1,2-1,included_classified,In-situ 3D Greenland Anorthosite manufacturing using Digital Light Processing (D,included_classified,true,add
015-859-559-341-188,CN,r2_keep,True,1-3;2-1,2,1-3;2-1,1-3;2-1,included_classified,Three-dimensional photocuring 3D printing high-density high-strength lunar soil ,included_classified,true,keep
140-065-171-690-864,CN,r2_keep,True,3-1;4-1;4-4,3,4-1;4-4,2-4;3-1,included_classified,Lunar surface building construction method and system for descending and recycli,included_classified,true,suppress
184-939-714-567-338,CN,r2_keep,True,1-3;2-3;3-3,3,2-2,2-2,included_classified,Microwave sintering automation equipment suitable for lunar surface hardening,included_classified,true,add+suppress
097-064-820-846-944,CN,r2_keep,True,1-2;4-1,2,,1-2;2-4;4-1,included_classified,Polymer building material and reuse method,included_classified,true,suppress
001-414-950-255-16X,CN,r2_keep,True,1-3;2-1;2-3,3,2-1,2-3,included_classified,Solar lunar soil sintering and curing equipment and method suitable for lunar su,included_classified,true,add
006-779-170-051-442,CN,r2_keep,True,2-4,1,2-4,2-4,included_classified,Moon permanent shadow region ice-soil substance formation evolution mechanism re,included_classified,true,keep
079-537-838-975-052,CN,r2_keep,True,1-3;2-3,2,1-3;2-1,2-3,included_classified,Solar sintering lunar soil system based on inclined plane material supplementing,included_classified,true,suppress
184-110-278-832-224,CN,r2_keep,True,4-1;4-4,2,3-3;4-1,,included_classified,Moon lava pipe building structure system based on assembly type module and const,included_classified,true,add+suppress
005-851-494-664-867,WO,r2_keep,True,2-1;2-2,2,2-1;2-2,2-1,included_classified,"SOLAR ENERGY-ASSISTED COLD SPRAY ADDITIVE MANUFACTURING, COATING, AND REPAIR SYS",included_classified,true,keep
155-636-289-114-118,CN,r2_keep,True,1-2;1-3,2,,1-2,included_classified,Moon brick based on xerogel and in-situ preparation device and method thereof,included_classified,true,add
124-889-076-117-746,CN,r2_keep,True,1-3;2-3,2,2-1,,included_classified,Lunar soil sintering forming device based on solar energy,included_classified,true,add+suppress
177-965-111-106-044,WO,r2_keep,True,3-3;4-1,2,,2-4,included_classified,MULTI-PART SYSTEM TO ACCELERATE BUILDING OF PERMANENT COLONIES ON THE MOON AND M,included_classified,true,add+suppress
072-879-166-598-260,CN,r2_keep,True,4-4,1,,,included_classified,Mars surface take-off deployment device of four-rotor type Mars aircraft,included_classified,true,add_only
151-457-957-350-265,CN,r2_keep,False,,0,,,domain_external,Moon global positioning constellation design method based on earth-moon space DR,domain_external_active,true,keep
025-484-478-070-421,CN,r2_keep,False,,0,,2-4,domain_external,Integrated antenna shell for Mars exploration landing rover and preparation meth,domain_external_active,true,suppress_all
003-473-789-662-019,WO,r2_keep,True,4-1;4-4;4-5,3,4-4;4-5,4-1,included_classified,SYSTEM FOR CREATING ARTIFICIAL GRAVITY IN A HABITATIONAL MODULE AND DEVICE FOR I,included_classified,true,keep
195-447-449-263-875,CN,r2_keep,True,4-1;4-4,2,4-1;4-2,4-4,included_classified,Lunar cabin structure system combining mechanical unfolding and inflatable unfol,included_classified,true,suppress
012-098-918-229-807,US,r2_keep,True,2-1;2-2;2-4;4-1,4,2-1;2-4;3-3,,included_classified,"System and method for deploying, harvesting, and in-situ three-dimensional print",included_classified,true,add+suppress
175-515-910-707-478,CN,r2_keep,True,1-3;2-1;2-4,3,2-1;2-4,2-1,included_classified,Additive manufacturing equipment and method for multi-component lunar soil mater,included_classified,true,add
171-236-929-547-219,CN,r2_keep,True,2-1;2-4,2,2-4,2-1,included_classified,Lunar soil melting phase change and 3D printing process analysis platform and an,included_classified,true,keep
157-080-026-864-525,CN,r2_keep,True,4-1;4-4,2,,,included_classified,Lunar surface masking body based on assembly type folding and unfolding steel fr,included_classified,true,add_only
075-188-183-555-12X,CN,r2_keep,True,1-3;2-3;4-1,3,,2-2,included_classified,Microwave sintering pile composite lunar foundation for lunar surface constructi,included_classified,true,add+suppress
166-168-140-974-00X,CN,r2_keep,True,1-2;2-1,2,1-2;2-1,2-1,included_classified,Preparation method of Mars weathered layer simulant-based inorganic polymer and ,included_classified,true,keep
083-922-840-729-294,US,r2_keep,True,1-1,1,,,included_classified,Membrane-based processing for ambient water-group species captured on the Moon a,included_classified,true,add_only
108-017-237-072-190,CN,r2_keep,True,4-1;4-2,2,4-1;4-2,,included_classified,General lunar surface equipment protection device based on in-situ resources,included_classified,true,keep
086-905-059-910-284,CN,r2_keep,True,1-1;4-1,2,,3-1,included_classified,Movable lunar resource mining and warehousing device,included_classified,true,add+suppress
066-700-964-871-911,CN,r2_keep,True,4-1;4-2;4-4,3,4-4,4-4,included_classified,Inflatable unfolding type semi-rigid lunar surface sealed cabin,included_classified,true,add
066-830-082-828-984,CA,r2_keep,True,1-2;2-1;4-1;4-2,4,,1-2,included_classified,ELECTRONIC AND MECHANICAL CONSTRUCTION BUILDING BRICK,included_classified,true,add
106-316-154-189-251,CN,r2_keep,True,2-1;2-4,2,2-1,2-1,included_classified,Additive manufacturing equipment and method under lunar surface environment,included_classified,true,add
102-985-417-307-057,CN,r2_keep,True,2-4,1,2-4,,included_classified,Linear cutting tunneling sampler for collecting lunar soil water ice,included_classified,true,keep
190-957-408-605-072,CN,r2_keep,True,4-1;4-4,2,,,included_classified,Mars four-rotor aircraft and slideway type inverted releasing and deploying devi,included_classified,true,add_only
011-118-438-213-944,CN,r2_keep,True,1-1,1,,2-4,included_classified,Lunar surface environment simulation device for simulating lunar surface constru,included_classified,true,add+suppress
060-418-175-333-208,CN,r2_keep,True,2-4,1,2-4,,included_classified,Lunar dust charging centralized control system for multi-irradiation-source syst,included_classified,true,keep
016-714-216-957-473,CN,r2_keep,True,1-2;4-1,2,3-1,1-2;3-1,included_classified,Loading lunar rover motion system and electromechanical hydraulic control simula,included_classified,true,add+suppress
197-221-418-141-040,EP,r2_keep,True,4-1,1,4-1,4-1,included_classified,EXTRAPLANETARY HEAT EXCHANGER,included_classified,true,keep
122-683-403-345-652,CN,r2_keep,True,1-1;2-1;2-4,3,2-1,2-1,included_classified,Automatic 3D printing equipment used for surface processing for shell of moon la,included_classified,true,add
006-899-749-833-650,CN,r2_keep,True,3-1;4-1;4-4,3,3-1,,included_classified,Gravitational field effect solving method and system oriented to lunar resource ,included_classified,true,add
144-608-987-663-096,CN,r2_keep,True,2-1;2-2;2-4,3,2-1,2-2,included_classified,Low-energy-consumption simulated lunar soil solidification forming device and me,included_classified,true,add
030-146-224-478-987,CN,r2_keep,True,2-1;2-4,2,2-4,3-1,included_classified,Lunar rover detection area rock traceability method for millimeter-level scene r,included_classified,true,add+suppress
127-975-790-471-179,CN,r2_keep,True,4-4,1,,4-4,included_classified,Lunar environment experience training clothes,included_classified,true,keep
106-749-491-160-533,CN,r2_keep,True,1-3;4-1;4-2;4-4,4,4-1,4-4,included_classified,Inflatable unfolding stiffened lunar soil filling brick with foldable rigid shel,included_classified,true,add
