lens_id,jurisdiction,source,is_classified,itc_codes,n_itc_tags,cpc_rule_domains,keyword_rule_domains,status,title_truncated,screening_category,analysis_set_443,adjudication_action
170-222-533-687-879,RU,r2_keep,True,1-3;4-1,2,,2-4,included_classified,ENGINEERING MOON MACHINE AND METHOD FOR ITS OPERATION,included_classified,true,add+suppress
138-925-636-822-632,CN,r2_keep,True,2-4;3-1,2,2-4,,included_classified,Lunar large-depth fidelity coring prospecting robot system,included_classified,true,add
195-001-827-236-609,CN,r2_keep,True,1-3;2-4;4-1,3,2-4,,included_classified,Shovel digging type lunar soil water ice diving and exploring mechanism and meth,included_classified,true,add
133-696-321-213-762,CN,r2_keep,True,1-3;2-4,2,2-4,1-1,included_classified,Preparation method of sampling simulated lunar soil,included_classified,true,add+suppress
023-647-875-256-327,WO,r2_keep,True,1-1,1,1-1,,included_classified,AUTOMATED PARTICLE SEPARATION EXTRACTED FROM SOIL INCLUDING REGOLITH ASSOCIATED ,included_classified,true,keep
007-756-401-016-746,WO,r2_keep,True,1-1;4-1;4-3,3,,2-4,included_classified,SYSTEMS AND METHODS FOR RADIANT GAS DYNAMIC MINING OF PERMAFROST FOR PROPELLANT ,included_classified,true,add+suppress
181-793-099-235-420,CN,r2_keep,True,4-1;4-2,2,4-1,,included_classified,Closed base,included_classified,true,add
079-962-328-001-343,CN,r2_keep,True,1-3;4-1;4-4,3,4-1;4-2,,included_classified,Moon surface type manned moon building structure based on future moon base and c,included_classified,true,add+suppress
184-820-145-210-022,CN,r2_keep,True,2-1;2-2;2-4,3,1-3;2-1;2-2,1-3;2-1,included_classified,Additive manufacturing method of titanium-based composite material,included_classified,true,add+suppress
173-430-488-072-220,CN,r2_keep,True,4-1;4-4,2,,,included_classified,Four-rotor type Mars aircraft and upright unfolding and platform take-off deploy,included_classified,true,add_only
158-848-533-391-568,CN,r2_keep,True,1-1,1,1-1,,included_classified,System and method for stage treatment and comprehensive utilization of lunar soi,included_classified,true,keep
085-771-107-874-496,CN,r2_keep,True,4-1;4-2;4-4,3,4-4,4-4,included_classified,"Rigidizable flexible sealed cabin capable of being automatically inflated, unfol",included_classified,true,add
107-896-431-775-452,CN,r2_keep,True,4-1;4-2;4-5,3,4-1,4-2,included_classified,Lunar surface base protection structure,included_classified,true,add
074-028-999-121-923,CN,r2_keep,True,4-1;4-4,2,4-1;4-4,4-4,included_classified,Connecting structure for inflatable unfolding cabin of lunar building,included_classified,true,keep
172-465-824-822-654,RU,r2_keep,False,,0,4-5,,domain_external,METHOD OF LOCAL INCREASE OF OPPOSITE THERMAL RADIATION OF ATMOSPHERE OF MARS,false_match,false,
166-322-412-269-228,CN,r2_keep,True,2-1;2-4,2,1-1,,included_classified,Lunar soil screening-electrostatic conveying load device and method for lunar su,included_classified,true,add+suppress
057-126-995-231-247,CN,r2_keep,True,1-1;2-4,2,2-4,,included_classified,Moon permanent shadow region water molecule adsorption and desorption experiment,included_classified,true,add
049-498-491-931-60X,CN,r2_keep,True,4-1;4-4,2,3-3;4-1,,included_classified,"Lunar surface base interlayer shell structure, lunar surface base and constructi",included_classified,true,add+suppress
076-002-904-651-655,CN,r2_keep,True,1-1;1-3;2-3,3,2-3,,included_classified,Permanent water resource mining base system for permanent shadow area of moon,included_classified,true,add
151-101-353-478-56X,CN,r2_keep,True,1-3;2-3,2,2-1,,included_classified,Lunar soil in-situ forming device and method,included_classified,true,add+suppress
090-624-178-296-68X,US,r2_keep,True,4-1,1,,4-1,included_classified,"Submerged Human Habitat System for Low-Gravity, Thin-Atmosphere Planetary Surfac",included_classified,true,keep
198-264-567-297-037,CN,r2_keep,True,1-3;2-1,2,2-1,2-1,included_classified,Porous lunar soil insulating brick and preparation method thereof,included_classified,true,add
123-068-356-232-154,CN,r2_keep,True,1-3,1,,1-1;2-4,included_classified,Preparation method of highland simulated lunar soil,included_classified,true,add+suppress
081-673-046-896-557,CN,r2_keep,True,4-1;4-4,2,4-1;4-4,4-4,included_classified,Hexagonal inflatable expansion building module applied to moon building,included_classified,true,keep
191-087-911-308-77X,CN,r2_keep,True,1-1;1-2;2-1;2-4;3-3,5,2-4,3-1,included_classified,Simulated lunar soil hardness visual detection system based on track image and m,included_classified,true,add+suppress
009-402-783-206-59X,CN,r2_keep,True,1-1;4-1,2,4-4,2-4,included_classified,Mars tire with shape memory alloy lattice structure,included_classified,true,add+suppress
129-906-991-787-544,CN,r2_keep,True,1-2;1-3;4-1,3,1-2,1-2,included_classified,High-impact-resistance building material suitable for lunar environment and used,included_classified,true,add
091-032-739-059-332,CN,r2_keep,True,4-1;4-4,2,4-4,4-4,included_classified,Inflatable expansion type sealed cabin with lunar soil filling cabin wall,included_classified,true,add
188-481-953-181-073,CN,r2_keep,True,1-3;2-3;2-4;4-1,4,2-4,2-2;4-3,included_classified,Moon road building detection device using microwave sintering lunar soil,included_classified,true,add+suppress
179-349-720-436-00X,CN,r2_keep,True,1-1;2-4;3-3,3,2-4,,included_classified,Automatic preparation device for simulated lunar soil,included_classified,true,add
139-177-703-657-901,US,r2_keep,True,4-1;4-5,2,4-3,4-2,included_classified,SINGLE-STAGE CRAFT AND METHOD FOR INTERPLANETARY SPACE TRAVEL,included_classified,true,add+suppress
059-668-529-951-06X,CN,r2_keep,True,1-3;2-4,2,2-4,,included_classified,Oblique-growth highland simulated lunar soil and preparation method thereof,included_classified,true,add
018-702-484-520-07X,WO,r2_keep,True,1-1;2-4,2,2-4,,included_classified,MULTI-STAGE LARGE-DEPTH DRILLING SYSTEM AND METHOD FOR MOON-BASED FIDELITY CORIN,included_classified,true,add
099-008-939-983-694,CN,r2_keep,True,1-1;2-4,2,2-4,,included_classified,Water-containing simulated lunar soil preparation and water content determinatio,included_classified,true,add
081-144-714-095-090,CN,r2_keep,True,2-4,1,2-4,,included_classified,Station conversion driving mechanism for water ice content detection of lunar so,included_classified,true,keep
077-894-938-560-420,CN,r2_keep,True,1-3;2-3;3-1;4-3,4,4-3,2-3;4-3,included_classified,Solar sintering hardening robot for lunar road and working method of solar sinte,included_classified,true,add
067-000-203-347-33X,CN,r2_keep,True,1-3;2-3,2,1-3,,included_classified,Lunar soil brick and preparation method thereof,included_classified,true,add
171-453-562-711-705,CN,r2_keep,True,4-4,1,4-4,4-4,included_classified,Modular extraterrestrial celestial body space capsule structure with high foldin,included_classified,true,keep
049-118-572-546-124,KR,r2_keep,True,1-1,1,,,included_classified,RCD RCD RCD halp moon casing steel pipe and RCD half-moon casing steel pipe cons,included_classified,true,add_only
020-567-583-872-209,CN,r2_keep,True,1-3;2-1;2-4,3,2-4;3-2,2-1;2-4,included_classified,Physical reconstruction method for lunar surface topography,included_classified,true,add+suppress
189-255-942-818-076,CN,r2_keep,True,1-3,1,2-1,,included_classified,"Reconfigurable lunar soil module sintering mold, system and method",included_classified,true,add+suppress
146-133-991-240-033,CN,r2_keep,True,2-1;2-4,2,2-1;3-3,,included_classified,Printing device of lunar surface structure and printing method thereof,included_classified,true,add+suppress
176-315-007-150-685,CN,r2_keep,True,1-1;1-3;2-3;2-4,4,2-4,,included_classified,Testing device and testing method for microwave moving sintering lunar soil in v,included_classified,true,add
005-260-563-678-038,CN,r2_keep,True,1-3;4-1;4-4,3,3-3;4-1,,included_classified,Portable lunar surface base shell structure and rapid construction method thereo,included_classified,true,add+suppress
178-612-758-891-234,CN,r2_keep,True,1-1;4-1;4-4,3,3-3;4-1,,included_classified,"Lunar surface base shell structure, space cabin and construction method of space",included_classified,true,add+suppress
078-204-692-592-515,AU,r2_keep,True,2-3,1,2-3,,included_classified,SUPPLEMENTAL SOLAR CONCENTRATOR FOR THE HEATING OF PARTICLES,included_classified,true,keep
166-107-187-715-903,CN,r2_keep,True,1-3;4-1,2,2-1,,included_classified,Lunar soil in-situ forming device and method based on alkali excitation technolo,included_classified,true,add+suppress
177-629-798-626-069,CN,r2_keep,True,1-3;2-1;2-2,3,2-1,2-3,included_classified,Method and device suitable for laser sintering forming of simulant lunar soil,included_classified,true,add+suppress
191-787-736-120-266,US,r2_keep,True,4-1;4-2;4-4;4-5,4,4-1;4-4,2-4;3-1;4-4,included_classified,"SYSTEMS AND METHODS FOR LUNAR UTILITY WITH NAVIGATION, ADVANCED REMOTE SENSING, ",included_classified,true,add+suppress
112-579-299-914-33X,CN,r2_keep,True,1-1;2-4,2,2-4,,included_classified,Lunar surface in-situ resource exploration device and method powered by radiatio,included_classified,true,add
151-868-000-857-162,CN,r2_keep,True,1-3;4-1;4-4,3,4-1;4-2,,included_classified,Annular base unit module and modular annular lunar surface base built by using s,included_classified,true,add+suppress
056-349-720-154-117,CN,r2_keep,True,4-4,1,,4-2;4-4,included_classified,Lunar surface residential cabin body protection structure,included_classified,true,suppress
075-494-905-642-15X,CN,r2_keep,True,1-2;2-4;4-1,3,1-2;2-4,1-2,included_classified,Solidified simulated lunar soil based on biological carbonized magnesium chlorid,included_classified,true,add
003-574-430-131-601,WO,r2_keep,True,1-3;4-4,2,,1-3,included_classified,COMPOSITE SELF-HEALING SYSTEM,included_classified,true,add
011-155-786-763-021,CN,r2_keep,True,4-1;4-5,2,4-1,,included_classified,Survival system of moon-based extreme environment,included_classified,true,add
137-656-964-945-800,CN,r2_keep,True,1-3;2-1,2,1-1,1-1,included_classified,Lunar soil component and particle size grading separation equipment and method,included_classified,true,add+suppress
137-681-519-806-081,CN,r2_keep,True,1-3;2-4,2,2-4,1-3,included_classified,Simplified artificial lunar soil with high-temperature fluidity similar to that ,included_classified,true,keep
066-780-743-823-740,CN,r2_keep,True,1-2;1-3,2,,1-1,included_classified,Resin transfer molding method for lunar soil building blocks,included_classified,true,add+suppress
108-905-245-900-975,CN,r2_keep,True,1-2;4-1,2,1-2,2-4,included_classified,Lunar soil high-precision simulation and preparation method for building materia,included_classified,true,add+suppress
074-973-932-782-336,WO,r2_keep,True,1-1;1-2;2-1;2-4,4,2-1;2-4,1-2;2-1,included_classified,METHODS AND SYSTEMS FOR 3D PRINTING OF OBJECTS,included_classified,true,add
188-347-823-894-115,CN,r2_keep,True,2-1,1,2-1,2-1,included_classified,Preparation method and application of silylene-based composite structure materia,included_classified,true,keep
051-205-758-133-659,CN,r2_keep,True,2-3;4-1;4-5,3,2-3,,included_classified,Moon base energy supply system and method based on compressed carbon dioxide ene,included_classified,true,add
167-228-745-840-731,CN,r2_keep,True,2-4;4-1,2,2-4,,included_classified,Simulated lunar soil for engineering and preparation process thereof,included_classified,true,add
110-916-954-275-813,CN,r2_keep,True,4-4,1,,4-4,included_classified,Unmanned aerial vehicle based on distributed power inflatable rotors,included_classified,true,keep
015-633-628-469-264,CN,r2_keep,True,1-1;1-2;2-1,3,1-2,1-2;2-1,included_classified,Supergravity centrifugal 3D printed lunar soil concrete and preparation method t,included_classified,true,add
140-261-046-568-577,CN,r2_keep,False,,0,,,domain_external,Full-cycle manned Mars detection method based on reusable aircraft,domain_external_active,true,keep
159-128-780-342-043,CN,r2_keep,True,4-1,1,4-1,,included_classified,Self-adaptive expansion type moon building based on automatic identification of ,included_classified,true,keep
027-514-775-548-839,CN,r2_keep,True,2-1;2-4,2,2-1;2-4,2-1,included_classified,Light-weight flexible extrusion device and method for rapid manufacturing of lun,included_classified,true,keep
136-279-744-915-493,CN,r2_keep,True,2-4,1,2-4;4-5,2-4,included_classified,Method for improving sludge through well point vibration pressing and drying,included_classified,true,suppress
087-102-965-168-533,US,r2_keep,True,1-1;1-3;2-3;4-3;4-4,5,1-1;1-3;4-3,,included_classified,System for constructing building material from lunar soil and associated method,included_classified,true,add
161-442-053-213-082,CN,r2_keep,True,1-3;2-1;2-3;2-4,4,2-1;2-4,2-3,included_classified,Lunar soil solar sintering forming system and method based on optical fiber poly,included_classified,true,add
047-063-182-289-275,CN,r2_keep,True,1-2;1-3,2,1-2;4-3,,included_classified,Lunar soil-based carbon nanotube brick as well as preparation method and applica,included_classified,true,add+suppress
080-018-625-663-304,CN,r2_keep,True,2-4,1,2-4,,included_classified,Preparation method of water-containing simulated lunar soil profile sample,included_classified,true,keep
046-745-194-726-462,CN,r2_keep,True,3-1,1,,,included_classified,Modular robot for extraterrestrial planet ground base construction,included_classified,true,add_only
163-098-287-739-733,CN,r2_keep,True,2-4,1,2-4,,included_classified,Full-electrostatic miniaturized scanning electron microscope lens suitable for l,included_classified,true,keep
155-891-808-668-189,US,r2_keep,True,1-3;2-2;2-3,3,1-3;2-2,2-2,included_classified,MOLD RELEASE OF MICROWAVE SINTERED LUNAR REGOLITH,included_classified,true,add
091-492-537-700-969,CN,r2_keep,True,2-4;4-1,2,1-1;2-4,1-1,included_classified,Bucket wheel type lunar surface unmanned excavating vehicle,included_classified,true,add+suppress
094-464-280-728-034,CN,r2_keep,True,4-1,1,3-1;4-1,,included_classified,Extreme landform movable building module applied to lunar lava duct,included_classified,true,suppress
085-240-784-217-503,CN,r2_keep,True,1-2,1,1-2,1-2,included_classified,Solid-waste-based fluid-state solidified soil and preparation method thereof,included_classified,true,keep
179-343-020-521-708,CN,r2_keep,True,1-1;2-4,2,1-1;2-4,2-4,included_classified,Vacuum pumping method of lunar soil water ice simulation device under working co,included_classified,true,keep
057-890-401-474-182,CN,r2_keep,True,2-1,1,2-1,,included_classified,Electrostatic coaxial powder feeding device and method for lunar soil,included_classified,true,keep
064-563-675-640-606,CN,r2_keep,True,4-1;4-4,2,3-3;4-1,,included_classified,Lunar surface base shell structure and space cabin,included_classified,true,add+suppress
088-153-352-207-516,CN,r2_keep,True,3-1;4-1,2,,4-4,included_classified,Movable operation spherical robot for moon base construction,included_classified,true,add+suppress
057-104-683-891-53X,CN,r2_keep,True,2-1,1,2-1,2-1,included_classified,Multi-material surface exposure 3D printing method for lattice structure capacit,included_classified,true,keep
126-999-801-681-818,CN,r2_keep,True,1-2,1,1-2,1-2;2-4,included_classified,Special cementing material for lunar soil in-situ ultralow-temperature curing an,included_classified,true,suppress
049-959-863-398-164,CN,r2_keep,True,1-3;2-4,2,2-4,,included_classified,Magnetic-sensitive simulant lunar soil preparation method,included_classified,true,add
138-229-002-501-571,CN,r2_keep,True,1-1;3-1,2,3-1,1-1,included_classified,Moon surface mechanical arm excavation control system and method,included_classified,true,keep
005-782-477-405-912,CN,r2_keep,True,1-3;2-2,2,,2-3,included_classified,Iron-rich glass spherical simulated lunar soil and preparation method thereof,included_classified,true,add+suppress
164-969-593-353-262,CN,r2_keep,True,4-1,1,4-1;4-2,,included_classified,Closed enclosure building built by biological circulation unit bodies and techno,included_classified,true,suppress
022-325-170-462-35X,CN,r2_keep,True,1-3;4-1,2,,,included_classified,Composite function end tool suitable for lunar surface construction and explorat,included_classified,true,add_only
157-524-481-824-300,CN,r2_keep,True,1-3;2-2,2,1-3,1-3,included_classified,High-strength lunar soil block composite material and preparation method thereof,included_classified,true,add
148-191-134-992-722,CN,r2_keep,True,1-1,1,2-4,,included_classified,Star soil water ice in-situ quantitative analysis system and method,included_classified,true,add+suppress
197-318-850-392-878,CN,r2_keep,True,4-3,1,4-3,2-4,included_classified,Construction equipment for asphalt pavement structure taking steel slag and recy,included_classified,true,suppress
101-625-661-751-728,CN,r2_keep,False,,0,,,domain_external,Branching construction method and system for four-leaf clover orbit family of ea,domain_external_active,true,keep
017-568-561-050-737,CN,r2_keep,True,1-3;2-1,2,2-1,,included_classified,Mountain surface in-situ lunar soil condensation fusion forming printing powder ,included_classified,true,add
075-993-616-758-021,CN,r2_keep,True,1-2;1-3,2,1-2,1-2,included_classified,Temperature-circulation-resistant sulphur concrete and preparation method thereo,included_classified,true,add
132-942-314-295-063,CN,r2_keep,True,3-3;4-5,2,,3-1,included_classified,Method for quickly establishing lunar surface navigation and communication beaco,included_classified,true,add+suppress
139-224-268-757-439,CN,r2_keep,False,,0,4-5,,domain_external,Method for repairing degraded wetland by using in-situ sludge,false_match,false,
199-300-247-859-901,CN,r2_keep,True,1-2;1-3;2-1;4-1,4,4-1,1-2;1-3,included_classified,Round top cover of honeycomb-shaped fabricated building component,included_classified,true,add
025-958-327-725-285,FR,r2_keep,True,4-3,1,4-3,,included_classified,Ground marking podotactile slabs comprise two opposite curved edges having shape,included_classified,true,keep
083-586-331-014-944,CN,r2_keep,True,2-4,1,2-4,,included_classified,Pile-soil interaction centrifugal model test device and method considering large,included_classified,true,keep
170-338-701-747-290,CN,r2_keep,True,4-4,1,,,included_classified,Detachable pile gripper applied to ship moon pool and mounting and using method ,included_classified,true,add_only
086-679-503-789-925,US,r2_keep,True,4-1;4-4,2,4-1;4-4,4-1,included_classified,Structures and methods of erecting the same,included_classified,true,keep
039-264-798-081-684,CN,r2_keep,True,1-3,1,,2-4;4-3,included_classified,Rocket take-off and landing platform based on in-situ resources and suitable for,included_classified,true,add+suppress
017-244-871-132-93X,CN,r2_keep,True,1-3;2-1,2,1-3;2-1,1-3;2-1,included_classified,Method for preparing ZTA ceramic device by DLP (Digital Light Processing) 3D pri,included_classified,true,keep
010-656-860-798-257,CN,r2_keep,True,1-2,1,1-2,1-2,included_classified,Nano-modified low-temperature early-strength lunar soil curing agent and prepara,included_classified,true,keep
054-226-595-173-243,CN,r2_keep,True,2-1;2-2,2,2-1;2-2,1-1;2-1,included_classified,Copper-chromium-niobium composite powder for laser additive manufacturing and pr,included_classified,true,suppress
080-379-115-676-897,CN,r2_keep,True,1-3;2-4,2,2-4,,included_classified,Multi-physical field preparation method for simulating bonded agglomerated rock ,included_classified,true,add
140-281-727-511-910,US,r2_keep,True,3-1;4-1;4-2;4-4;4-5,5,4-5,4-2;4-5,included_classified,RAPID ASSEMBLY LIGHTWEIGHT MODULAR STRUCTURE,included_classified,true,add
076-148-625-760-885,GR,r2_keep,False,,0,1-1,2-4,domain_external,PLANETARY GRINDING MILL,domain_external_active,true,suppress_all
039-298-309-565-609,US,r2_keep,True,1-2,1,3-2,1-2,included_classified,Satellite-based content delivery network (CDN) in an extraterrestrial environmen,included_classified,true,suppress
079-622-290-392-500,CN,r2_keep,True,1-1,1,,2-4,included_classified,Planetary drill bit,included_classified,true,add+suppress
174-300-276-041-976,US,r2_keep,True,4-4;4-5,2,4-4,4-4,included_classified,Deployed electromagnetic radiation deflector shield (DERDS) which creates a zone,included_classified,true,add
082-038-227-877-21X,CN,r2_keep,True,2-4;4-1,2,2-4,1-2,included_classified,Method for testing compressive strength of concrete capable of simulating rapid ,included_classified,true,add+suppress
198-089-717-453-387,CN,r2_keep,True,2-1;2-4,2,2-1,,included_classified,Planetary gear type three-dimensional printer pusher,included_classified,true,add
174-160-981-154-069,CN,r2_keep,True,2-2,1,1-3,,included_classified,Sintering tool for planetary gear,included_classified,true,add+suppress
025-500-217-089-172,US,r2_keep,True,1-1;4-1,2,,1-1,included_classified,Lunar excavation and projectile transport systems and methods,included_classified,true,add
029-069-376-625-614,KR,r2_keep,False,,0,,,domain_external,MAKING OF SHEATHING PANEL FOR EARTH RETAINING AND THIS AND CONSTRUCTION TECHNIQU,domain_external_active,true,keep
098-864-983-629-700,CN,r2_keep,True,2-3;3-3;4-1,3,2-1;2-3,1-1,included_classified,Star soil automatic forming device based on solar energy,included_classified,true,add+suppress
072-366-232-275-66X,CN,r2_keep,True,2-1;2-4,2,2-1,,included_classified,Two-tone three-dimensional printer material pushing device with switchable plane,included_classified,true,add
073-364-110-607-934,CN,r2_keep,True,4-1;4-4,2,4-1,,included_classified,Lunar surface base interlayer shell powder mixing method and interlayer shell st,included_classified,true,add
044-389-429-754-556,US,r2_keep,True,4-2;4-4;4-5,3,4-4,4-4,included_classified,Deployable and retractable space frame,included_classified,true,add
099-389-968-727-78X,WO,r2_keep,False,,0,1-1,1-1;2-4,domain_external,PLANETARY MILL,domain_external_active,true,suppress_all
133-455-615-343-143,WO,r2_keep,True,1-1;4-1;4-3,3,,,included_classified,GAS MINING COVER ARRANGEMENT,included_classified,true,add_only
138-517-555-246-298,CN,r2_keep,False,,0,1-1,,domain_external,Construction waste recovery device utilizing Archimedes planetary gear principle,domain_external_active,true,suppress_all
189-644-333-515-933,CN,r2_keep,True,1-2;1-3;2-1;4-1;4-4,5,4-1,,included_classified,Honeycomb-shaped fabricated building and building group main body construction m,included_classified,true,add
112-145-811-503-647,CN,r2_keep,True,3-1,1,3-1,,included_classified,Intelligent robot end-to-end motion planning method,included_classified,true,keep
193-912-995-611-062,CN,r2_keep,True,1-2;1-3;2-1;4-1,4,4-1,1-2;1-3;2-1,included_classified,Honeycomb-shaped fabricated building component and vertical connection method,included_classified,true,keep
151-026-847-189-39X,CN,r2_keep,False,,0,3-3,,domain_external,Building construction hole processing device,domain_external_active,true,suppress_all
037-287-771-992-831,US,r2_keep,True,2-4;4-1;4-4,3,2-4;4-1;4-4,2-4;4-4,included_classified,System and method for finding dents on an automobile using a booth,included_classified,true,keep
046-146-601-903-186,CN,r2_keep,False,,0,3-3,2-4,domain_external,Novel manhole cover plate and construction method thereof,domain_external_active,true,suppress_all
072-973-283-207-813,CN,r2_keep,False,,0,,,domain_external,Riprap leveling ship and gravel foundation bed leveling construction method,domain_external_active,true,keep
102-213-207-788-999,US,r2_keep,True,1-1;3-1;3-3;4-1;4-2;4-5,6,3-1;3-3;4-1;4-3,4-3,included_classified,"Nuclear power heavy construction, mining and processing apparatus to make Exo-pl",included_classified,true,add+suppress
121-226-793-658-530,CN,r2_keep,False,,0,,,domain_external,Suction anchor construction method through drilling vessel,domain_external_active,true,keep
122-036-743-845-919,CN,r2_keep,True,4-1,1,3-3;4-1,1-2;4-4,included_classified,Shell concrete pouring method of membrane structure formwork for space base cons,included_classified,true,suppress
158-657-999-018-456,CN,r2_keep,False,,0,,2-4,domain_external,Lunar surface landing whole-course guidance time optimization method based on al,domain_external_active,true,suppress_all
176-875-693-945-466,CN,r2_keep,False,,0,,,domain_external,Construction method for sinking pipe foundation treatment,domain_external_active,true,keep
000-029-056-241-583,NZ,r2_keep,True,1-2,1,1-2,1-2;4-4,included_classified,System and method for making and applying a non-portland cement-based material,included_classified,true,suppress
016-686-598-023-258,US,r2_keep,True,4-4;4-5,2,4-4,2-4,included_classified,Flexurally hinged tripod support boom,included_classified,true,add+suppress
063-363-893-746-836,CN,r2_keep,True,1-2;1-3;2-1;4-1,4,4-1,1-2;1-3;2-1,included_classified,Honeycomb-shaped fabricated building component and horizontal connecting method,included_classified,true,keep
118-889-681-961-69X,CN,r2_keep,True,2-1;2-2;2-4,3,2-1;2-2,,included_classified,High-strength TC4-BN alloy containing isometric crystal and columnar crystal mix,included_classified,true,add
032-122-857-229-194,CN,r2_keep,True,2-2;4-1,2,1-1,,included_classified,Vacuum thermal decomposition device,included_classified,true,add+suppress
082-454-014-925-321,KR,r2_keep,False,,0,,4-3,domain_external,CONSTRUCTION METHOD OF CONSTRUCTION REINFORCING SOIL REUSING FRONT PLATE,domain_external_active,true,suppress_all
029-606-345-629-891,CN,r2_keep,False,,0,,,domain_external,Multi-fin special-shaped pile rolling forming device and construction method,domain_external_active,true,keep
129-725-575-095-167,CN,r2_keep,True,1-3;4-3,2,1-3;4-3,1-3;2-4,included_classified,Sponge city ceramic permeable bricks prepared by convection planetary mixing and,included_classified,true,suppress
132-737-409-967-923,US,r2_keep,True,3-1;3-3,2,3-1,3-1;4-1;4-3,included_classified,Self-Reproducing Autonomous Robotics System for AI-Centric Infrastructure Genera,included_classified,true,add+suppress
090-954-456-871-923,CN,r2_keep,True,2-1;2-2;2-4,3,2-1;2-2,1-3,included_classified,Rapid forming method for cylindrical part of 750 DEG C-resistant titanium-based ,included_classified,true,add+suppress
075-941-801-946-687,CN,r2_keep,False,,0,1-1,,domain_external,Mixing and stirring equipment for constructional engineering,domain_external_active,true,suppress_all
045-768-128-612-884,CN,r2_keep,False,,0,3-3,,domain_external,Steel bar connecting and rotating device for constructional engineering,domain_external_active,true,suppress_all
110-435-904-405-416,CN,r2_keep,False,,0,,,domain_external,Overwater self-elevating type pile-top-movable pile driving platform and constru,domain_external_active,true,keep
